Model,Embedding Dim,Hidden Dim,Dropout,Batch Size,Learning Rate,Validation F1,Label
LSTM,100,128,0.3,16,0.01,0.6597575283535393,LSTM_emb100_hid128_bs16_lr0.01_do0.3
LSTM,200,256,0.3,16,0.01,0.6302384125573819,LSTM_emb200_hid256_bs16_lr0.01_do0.3
LSTM,100,128,0.3,16,0.001,0.9943405933802092,LSTM_emb100_hid128_bs16_lr0.001_do0.3
LSTM,200,256,0.3,16,0.001,0.9934685458920591,LSTM_emb200_hid256_bs16_lr0.001_do0.3
LSTM,100,128,0.3,16,0.0001,0.9678822348611575,LSTM_emb100_hid128_bs16_lr0.0001_do0.3
LSTM,200,256,0.3,16,0.0001,0.9769321434584947,LSTM_emb200_hid256_bs16_lr0.0001_do0.3
LSTM,100,128,0.3,16,0.0005,0.993309315491508,LSTM_emb100_hid128_bs16_lr0.0005_do0.3
LSTM,200,256,0.3,16,0.0005,0.9933230611196713,LSTM_emb200_hid256_bs16_lr0.0005_do0.3
LSTM,100,128,0.3,32,0.01,0.9761209414190002,LSTM_emb100_hid128_bs32_lr0.01_do0.3
LSTM,200,256,0.3,32,0.01,0.39659535311709226,LSTM_emb200_hid256_bs32_lr0.01_do0.3
LSTM,100,128,0.3,32,0.001,0.9929613733905579,LSTM_emb100_hid128_bs32_lr0.001_do0.3
LSTM,200,256,0.3,32,0.001,0.993632765444846,LSTM_emb200_hid256_bs32_lr0.001_do0.3
LSTM,100,128,0.3,32,0.0001,0.9675236806495264,LSTM_emb100_hid128_bs32_lr0.0001_do0.3
LSTM,200,256,0.3,32,0.0001,0.9716965332440127,LSTM_emb200_hid256_bs32_lr0.0001_do0.3
LSTM,100,128,0.3,32,0.0005,0.9941480206540447,LSTM_emb100_hid128_bs32_lr0.0005_do0.3
LSTM,200,256,0.3,32,0.0005,0.9941700960219478,LSTM_emb200_hid256_bs32_lr0.0005_do0.3
LSTM,100,128,0.3,64,0.01,0.9877733769588428,LSTM_emb100_hid128_bs64_lr0.01_do0.3
LSTM,200,256,0.3,64,0.01,0.9840889649272883,LSTM_emb200_hid256_bs64_lr0.01_do0.3
LSTM,100,128,0.3,64,0.001,0.9902380544613804,LSTM_emb100_hid128_bs64_lr0.001_do0.3
LSTM,200,256,0.3,64,0.001,0.9925874849163937,LSTM_emb200_hid256_bs64_lr0.001_do0.3
LSTM,100,128,0.3,64,0.0001,0.9721033715557077,LSTM_emb100_hid128_bs64_lr0.0001_do0.3
LSTM,200,256,0.3,64,0.0001,0.9760716130142881,LSTM_emb200_hid256_bs64_lr0.0001_do0.3
LSTM,100,128,0.3,64,0.0005,0.9902213072568193,LSTM_emb100_hid128_bs64_lr0.0005_do0.3
LSTM,200,256,0.3,64,0.0005,0.9938377268058884,LSTM_emb200_hid256_bs64_lr0.0005_do0.3
BiLSTM,100,128,0.3,16,0.01,0.810378590078329,BiLSTM_emb100_hid128_bs16_lr0.01_do0.3
BiLSTM,200,256,0.3,16,0.01,0.6237686019702369,BiLSTM_emb200_hid256_bs16_lr0.01_do0.3
BiLSTM,100,128,0.3,16,0.001,0.9934640522875817,BiLSTM_emb100_hid128_bs16_lr0.001_do0.3
BiLSTM,200,256,0.3,16,0.001,0.99128651973347,BiLSTM_emb200_hid256_bs16_lr0.001_do0.3
BiLSTM,100,128,0.3,16,0.0001,0.9881422924901185,BiLSTM_emb100_hid128_bs16_lr0.0001_do0.3
BiLSTM,200,256,0.3,16,0.0001,0.9885763000852515,BiLSTM_emb200_hid256_bs16_lr0.0001_do0.3
BiLSTM,100,128,0.3,16,0.0005,0.9938123066345823,BiLSTM_emb100_hid128_bs16_lr0.0005_do0.3
BiLSTM,200,256,0.3,16,0.0005,0.9945130315500685,BiLSTM_emb200_hid256_bs16_lr0.0005_do0.3
BiLSTM,100,128,0.3,32,0.01,0.8662830060934327,BiLSTM_emb100_hid128_bs32_lr0.01_do0.3
BiLSTM,200,256,0.3,32,0.01,0.6772151898734177,BiLSTM_emb200_hid256_bs32_lr0.01_do0.3
BiLSTM,100,128,0.3,32,0.001,0.9927884615384616,BiLSTM_emb100_hid128_bs32_lr0.001_do0.3
BiLSTM,200,256,0.3,32,0.001,0.9950146123431322,BiLSTM_emb200_hid256_bs32_lr0.001_do0.3
BiLSTM,100,128,0.3,32,0.0001,0.9714576962283384,BiLSTM_emb100_hid128_bs32_lr0.0001_do0.3
BiLSTM,200,256,0.3,32,0.0001,0.9851519337016574,BiLSTM_emb200_hid256_bs32_lr0.0001_do0.3
BiLSTM,100,128,0.3,32,0.0005,0.992253399896712,BiLSTM_emb100_hid128_bs32_lr0.0005_do0.3
BiLSTM,200,256,0.3,32,0.0005,0.9919091065587881,BiLSTM_emb200_hid256_bs32_lr0.0005_do0.3
BiLSTM,100,128,0.3,64,0.01,0.8784576697401508,BiLSTM_emb100_hid128_bs64_lr0.01_do0.3
BiLSTM,200,256,0.3,64,0.01,0.790941418678645,BiLSTM_emb200_hid256_bs64_lr0.01_do0.3
BiLSTM,100,128,0.3,64,0.001,0.99,BiLSTM_emb100_hid128_bs64_lr0.001_do0.3
BiLSTM,200,256,0.3,64,0.001,0.9950265820613959,BiLSTM_emb200_hid256_bs64_lr0.001_do0.3
BiLSTM,100,128,0.3,64,0.0001,0.9678516754550094,BiLSTM_emb100_hid128_bs64_lr0.0001_do0.3
BiLSTM,200,256,0.3,64,0.0001,0.983461210571185,BiLSTM_emb200_hid256_bs64_lr0.0001_do0.3
BiLSTM,100,128,0.3,64,0.0005,0.9887563884156729,BiLSTM_emb100_hid128_bs64_lr0.0005_do0.3
BiLSTM,200,256,0.3,64,0.0005,0.9909571745435932,BiLSTM_emb200_hid256_bs64_lr0.0005_do0.3
